adres,omschrijving
"Kloosterstraat 16","Verkoop van tuinplanten (inheems) en verschillende soorten pompoen/courgette"
"Middelerpad 8","Plantjesmarkt, handgemaakte kaarten en herenkleding"
"Middelerstraat 23a","Wij verkopen plantjes, (kinder)kleding, spelletjes, Rommelmarkt spullen. Koffie/thee met iets lekkers. Er is een toilet aanwezig."
"Jouw adres hier?","info@plaatselijkbelangmiddel.nl"
"Oude Deventerweg 14","Wij verkopen walnoten, plantjes, loopeend-eieren, fietsen,kleding, spelletjes, speelgoed, boeken en div andere rommelmarkt items."
"Oude Deventerweg 17","Verkoop aan de Schotensweg. We hebben brocante, koffie en thee, misschien wat lekkers en alles wat we nog op zolder vinden. Geen toilet." 
"Oude Deventerweg 21"," "
"Stapelhaarspad 1a","Wij verkopen bijzondere boeken en vintage huisraad"
"Steunenbergerweg 9","Kopjes, bekers, kinderbekertjes, boeken, bloempotten, vazen suikerpot en melkkan, dvd's voor kinderen en volwassenen, van alles wat, alles gratis."
"Wesenberg 4a","Ruime sortering, o.a. speelgoed, kleding, huisraad, kerst, vazen,  decoratie enz enz.. Grotendeels in een tent."
"Weth. M. van Doorninckweg 17","Tweedehands spullen en nieuwe taart en thee/koffie."
"Wittenbergsweg 4","Boeken / Strips /speelgoed/ en veel diverse spullen. We hebben een ruime tent waar de spullen dan staan."
"Jouw adres hier?","info@plaatselijkbelangmiddel.nl"
